序号,城市,url
1,杭州,https://you.ctrip.com/place/hangzhou14.html
2,上海,https://you.ctrip.com/place/shanghai2.html
3,成都,https://you.ctrip.com/place/chengdu104.html
4,厦门,https://you.ctrip.com/place/xiamen21.html
5,台北,https://you.ctrip.com/place/taipeicity360.html
6,香港,https://you.ctrip.com/place/hongkong38.html
7,北京,https://you.ctrip.com/place/beijing1.html
8,苏州,https://you.ctrip.com/place/suzhou11.html
9,南京,https://you.ctrip.com/place/nanjing9.html
10,丽江,https://you.ctrip.com/place/lijiang32.html
11,重庆,https://you.ctrip.com/place/chongqing158.html
12,武汉,https://you.ctrip.com/place/wuhan145.html
13,昆明,https://you.ctrip.com/place/kunming29.html
14,广州,https://you.ctrip.com/place/guangzhou152.html
15,天津,https://you.ctrip.com/place/tianjin154.html
16,深圳,https://you.ctrip.com/place/shenzhen26.html
17,澳门,https://you.ctrip.com/place/macau39.html
18,无锡,https://you.ctrip.com/place/wuxi10.html
19,大理白族自治州,https://you.ctrip.com/place/dali31.html
20,大连,https://you.ctrip.com/place/dalian4.html
21,长沙,https://you.ctrip.com/place/changsha148.html
22,宁波,https://you.ctrip.com/place/ningbo83.html
23,沈阳,https://you.ctrip.com/place/shenyang155.html
24,桂林,https://you.ctrip.com/place/guilin28.html
25,西安,https://you.ctrip.com/place/xian7.html
26,西双版纳,https://you.ctrip.com/place/xishuangbanna30.html
27,哈尔滨,https://you.ctrip.com/place/haerbin151.html
28,张家界,https://you.ctrip.com/place/zhangjiajie23.html
29,拉萨,https://you.ctrip.com/place/lhasa36.html
30,高雄,https://you.ctrip.com/place/gaoxiong756.html
31,三亚,https://you.ctrip.com/place/sanya61.html
32,扬州,https://you.ctrip.com/place/yangzhou12.html
33,青岛,https://you.ctrip.com/place/qingdao5.html
34,花莲,https://you.ctrip.com/place/hualien1366.html
35,香格里拉,https://you.ctrip.com/place/xianggelila106.html
36,凤凰,https://you.ctrip.com/place/fenghuang988.html
37,北海,https://you.ctrip.com/place/beihai140.html
38,绍兴,https://you.ctrip.com/place/shaoxing18.html
39,南宁,https://you.ctrip.com/place/nanning166.html
40,贵阳,https://you.ctrip.com/place/guiyang33.html
41,阿坝藏族羌族自治州,https://you.ctrip.com/place/aba744.html
42,福州,https://you.ctrip.com/place/fuzhou164.html
43,西宁,https://you.ctrip.com/place/xining237.html
44,阳朔,https://you.ctrip.com/place/yangshuo702.html
45,湘西,https://you.ctrip.com/place/xiangxi496.html
46,秦皇岛,https://you.ctrip.com/place/qinhuangdao132.html
47,长春,https://you.ctrip.com/place/changchun216.html
48,九寨沟,https://you.ctrip.com/place/jiuzhaigou25.html
49,威海,https://you.ctrip.com/place/weihai169.html
50,济南,https://you.ctrip.com/place/jinan128.html
51,珠海,https://you.ctrip.com/place/zhuhai27.html
